population_size,generations,crossover_rate,mutation_rate,use_2opt,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
300,80,0.7,0.5,True,3,18.8918,0.4808,18.406,19.3675,1.68,0.11,67.81,8.3,100.0
300,80,0.7,0.5,False,3,18.3781,1.6706,17.3902,20.307,0.56,0.04,73.59,9.3,66.7
300,80,0.8,0.01,True,3,17.6674,2.2557,15.2565,19.7267,1.44,0.08,55.75,7.3,100.0
300,80,0.8,0.01,False,3,18.2879,1.3758,16.6995,19.1079,0.55,0.03,66.15,10.3,100.0
300,80,0.8,0.05,True,3,18.1932,0.6923,17.5986,18.9532,1.47,0.06,68.1,8.7,100.0
300,80,0.8,0.05,False,3,17.3697,0.2467,17.0852,17.5244,0.53,0.04,71.68,7.7,100.0
300,80,0.8,0.2,True,3,16.1603,1.5833,14.8723,17.928,1.55,0.14,76.47,8.7,100.0
300,80,0.8,0.2,False,3,20.2241,1.1551,19.1677,21.4575,0.53,0.03,63.38,7.3,33.3
300,80,0.8,0.5,True,3,17.1166,1.9814,15.4101,19.2896,1.68,0.03,70.96,8,100.0
300,80,0.8,0.5,False,3,17.6936,1.2231,16.2902,18.5323,0.52,0.01,74.17,10,100.0
300,80,0.9,0.01,True,3,16.3952,1.7062,15.4101,18.3654,1.47,0.1,63.18,7.7,100.0
300,80,0.9,0.01,False,3,20.3429,0.2829,20.1319,20.6644,0.5,0.01,64.04,8.7,0.0
300,80,0.9,0.05,True,3,17.9652,1.81,15.8886,19.2083,1.5,0.13,76.94,9.7,100.0
300,80,0.9,0.05,False,3,18.8078,1.1602,17.4802,19.6276,0.5,0.01,67.49,10.7,100.0
300,80,0.9,0.2,True,3,16.5676,1.4289,15.4101,18.1647,1.6,0.18,74.48,9.3,100.0
300,80,0.9,0.2,False,3,18.3317,0.5308,18.016,18.9445,0.58,0.03,68.63,8.7,100.0
300,80,0.9,0.5,True,3,16.914,1.7137,15.4101,18.7797,1.84,0.18,76.04,8.3,100.0
300,80,0.9,0.5,False,3,18.2041,0.9574,17.3461,19.2369,0.61,0.01,73.0,8,100.0
500,20,0.6,0.01,True,3,16.7637,0.8848,16.2051,17.7839,0.71,0.01,68.04,7.7,100.0
500,20,0.6,0.01,False,3,19.8639,0.8798,19.0782,20.8145,0.27,0.0,51.87,8.3,66.7
500,20,0.6,0.05,True,3,16.8189,1.4978,15.2565,18.2425,0.71,0.01,65.99,9.3,100.0
500,20,0.6,0.05,False,3,16.6586,2.5271,14.9866,19.5657,0.24,0.01,57.35,8.7,100.0
500,20,0.6,0.2,True,3,17.5277,1.4395,15.8707,18.4699,0.65,0.01,65.87,8.7,100.0
500,20,0.6,0.2,False,3,19.3693,0.7783,18.5342,20.0744,0.27,0.0,60.24,9,66.7
500,20,0.6,0.5,True,3,16.7769,1.6608,14.8768,17.9517,0.82,0.03,68.28,8,100.0
500,20,0.6,0.5,False,3,16.849,1.6657,15.8873,18.7724,0.25,0.01,70.43,8,100.0
500,20,0.7,0.01,True,3,17.3049,1.4125,16.2189,18.9018,0.61,0.01,55.81,8,100.0
