population_size,generations,crossover_rate,mutation_rate,use_2opt,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
700,80,0.7,0.01,False,3,17.9494,0.055712,23.12,True,3.01,46.6892,16.9494,29.7398,63.7,10
700,80,0.7,0.05,True,1,15.4101,0.064893,23.71,True,8.51,47.3772,14.4101,32.9671,69.58,7
700,80,0.7,0.05,True,2,18.4854,0.054097,25.31,True,8.45,42.7424,17.4854,25.2571,59.09,5
700,80,0.7,0.05,True,3,15.8707,0.063009,23.66,True,8.47,40.0585,14.8707,25.1878,62.88,7
700,80,0.7,0.05,False,1,18.5277,0.053973,24.08,True,3.03,57.8223,17.5277,40.2947,69.69,8
700,80,0.7,0.05,False,2,15.884,0.062957,22.93,True,3.02,53.6797,14.884,38.7957,72.27,8
700,80,0.7,0.05,False,3,15.884,0.062957,22.93,True,3.06,69.3382,14.884,54.4542,78.53,11
700,80,0.7,0.2,True,1,16.1579,0.061889,24.9,True,9.77,44.6701,15.1579,29.5121,66.07,12
700,80,0.7,0.2,True,2,16.6443,0.060081,25.76,True,9.01,75.8337,15.6443,60.1894,79.37,10
700,80,0.7,0.2,True,3,18.4866,0.054093,23.11,True,9.06,65.5349,17.4866,48.0483,73.32,9
700,80,0.7,0.2,False,1,18.8346,0.053094,24.3,True,3.08,54.4639,17.8346,36.6293,67.25,10
700,80,0.7,0.2,False,2,18.8646,0.053009,23.59,True,3.1,37.0095,17.8646,19.1449,51.73,8
700,80,0.7,0.2,False,3,19.2718,0.051889,21.91,True,3.13,42.7098,18.2718,24.438,57.22,10
700,80,0.7,0.5,True,1,17.7588,0.05631,19.9,True,10.24,37.9608,16.7588,21.202,55.85,9
700,80,0.7,0.5,True,2,15.2565,0.065546,24.85,True,9.8,39.5695,14.2565,25.3129,63.97,6
700,80,0.7,0.5,True,3,17.9517,0.055705,21.44,True,9.35,43.8989,16.9517,26.9473,61.38,9
700,80,0.7,0.5,False,1,16.2023,0.06172,21.05,True,3.84,35.0154,15.2023,19.8131,56.58,8
700,80,0.7,0.5,False,2,15.2565,0.065546,24.85,True,3.27,50.3224,14.2565,36.0658,71.67,9
700,80,0.7,0.5,False,3,15.4147,0.064873,22.53,True,3.14,49.5799,14.4147,35.1653,70.93,10
700,80,0.8,0.01,True,1,17.7371,0.056379,21.02,True,8.68,46.273,16.7371,29.5359,63.83,12
700,80,0.8,0.01,True,2,15.7417,0.063526,21.09,True,9.74,29.7878,14.7417,15.0461,50.51,10
700,80,0.8,0.01,True,3,14.8635,0.067279,24.0,True,8.97,54.1653,13.8635,40.3019,74.41,9
700,80,0.8,0.01,False,1,18.4021,0.054342,24.56,True,3.08,31.8621,17.4021,14.46,45.38,10
700,80,0.8,0.01,False,2,15.8873,0.062944,23.69,True,3.08,51.9436,14.8873,37.0563,71.34,7
700,80,0.8,0.01,False,3,17.1189,0.058415,23.3,True,3.15,54.4159,16.1189,38.297,70.38,10
700,80,0.8,0.05,True,1,17.9517,0.055705,21.44,True,8.97,53.879,16.9517,36.9273,68.54,8
700,80,0.8,0.05,True,2,14.9866,0.066726,24.05,True,8.45,28.3061,13.9866,14.3195,50.59,9
700,80,0.8,0.05,True,3,15.2565,0.065546,24.85,True,9.38,58.8701,14.2565,44.6135,75.78,7
700,80,0.8,0.05,False,1,19.1754,0.05215,20.56,True,1.93,43.7257,18.1754,25.5503,58.43,6
700,80,0.8,0.05,False,2,15.8707,0.063009,23.66,True,1.2,34.8476,14.8707,19.9769,57.33,8
700,80,0.8,0.05,False,3,18.6294,0.053679,20.72,True,1.21,49.1686,17.6294,31.5392,64.15,9
700,80,0.8,0.2,True,1,15.2565,0.065546,24.85,True,3.85,57.4518,14.2565,43.1952,75.19,8
700,80,0.8,0.2,True,2,17.3147,0.057754,23.82,True,3.54,45.3786,16.3147,29.0639,64.05,7
700,80,0.8,0.2,True,3,18.1105,0.055217,20.19,True,4.0,55.9691,17.1105,38.8586,69.43,9
700,80,0.8,0.2,False,1,19.1216,0.052297,24.32,True,1.52,42.146,18.1216,24.0244,57.0,8
700,80,0.8,0.2,False,2,18.2846,0.054691,20.17,True,1.44,40.2375,17.2846,22.9529,57.04,12
700,80,0.8,0.2,False,3,15.8707,0.063009,23.66,True,1.51,49.1238,14.8707,34.2531,69.73,9
700,80,0.8,0.5,True,1,15.2565,0.065546,24.85,True,4.03,39.9319,14.2565,25.6753,64.3,6
700,80,0.8,0.5,True,2,14.8635,0.067279,24.0,True,4.51,45.2591,13.8635,31.3956,69.37,12
700,80,0.8,0.5,True,3,15.2565,0.065546,24.85,True,4.02,47.903,14.2565,33.6465,70.24,8
700,80,0.8,0.5,False,1,18.2833,0.054695,18.82,True,1.38,61.8598,17.2833,44.5766,72.06,10
700,80,0.8,0.5,False,2,16.2023,0.06172,21.05,True,1.23,48.7273,15.2023,33.525,68.8,14
700,80,0.8,0.5,False,3,15.8707,0.063009,23.66,True,1.25,43.5229,14.8707,28.6523,65.83,9
700,80,0.9,0.01,True,1,14.8635,0.067279,24.0,True,3.85,33.5175,13.8635,19.6541,58.64,9
700,80,0.9,0.01,True,2,15.2565,0.065546,24.85,True,3.79,54.0865,14.2565,39.83,73.64,8
700,80,0.9,0.01,True,3,15.2565,0.065546,24.85,True,4.28,38.1513,14.2565,23.8948,62.63,9
700,80,0.9,0.01,False,1,18.2677,0.054741,21.23,True,1.36,48.3729,17.2677,31.1052,64.3,11
700,80,0.9,0.01,False,2,18.2978,0.054652,23.34,True,1.39,45.188,17.2978,27.8903,61.72,8
700,80,0.9,0.01,False,3,17.8573,0.055999,29.55,True,1.67,41.7318,16.8573,24.8745,59.61,9
700,80,0.9,0.05,True,1,15.2565,0.065546,24.85,True,4.16,45.0311,14.2565,30.7746,68.34,6
700,80,0.9,0.05,True,2,18.2978,0.054652,23.34,True,4.3,41.6468,17.2978,24.349,58.47,9
700,80,0.9,0.05,True,3,15.6807,0.063773,24.92,True,3.74,37.2963,14.6807,22.6156,60.64,8
700,80,0.9,0.05,False,1,15.7417,0.063526,21.09,True,1.26,59.8184,14.7417,45.0767,75.36,13
700,80,0.9,0.05,False,2,16.8953,0.059188,25.73,True,1.43,37.3722,15.8953,21.477,57.47,15
700,80,0.9,0.05,False,3,16.8778,0.059249,23.66,True,1.25,51.3568,15.8778,35.479,69.08,10
700,80,0.9,0.2,True,1,15.2565,0.065546,24.85,True,3.61,62.2808,14.2565,48.0242,77.11,7
700,80,0.9,0.2,True,2,15.4101,0.064893,23.71,True,3.63,57.2924,14.4101,42.8824,74.85,8
700,80,0.9,0.2,True,3,18.4948,0.054069,23.55,True,3.63,62.2809,17.4948,44.7861,71.91,4
700,80,0.9,0.2,False,1,18.8015,0.053187,20.47,True,1.3,60.029,17.8015,42.2276,70.35,12
700,80,0.9,0.2,False,2,15.2698,0.065489,24.12,True,1.38,58.1858,14.2698,43.916,75.48,12
700,80,0.9,0.2,False,3,18.2978,0.054652,23.34,True,1.23,51.5145,17.2978,34.2167,66.42,10
700,80,0.9,0.5,True,1,15.2565,0.065546,24.85,True,4.12,66.1016,14.2565,51.8451,78.43,8
700,80,0.9,0.5,True,2,15.2565,0.065546,24.85,True,4.11,41.9945,14.2565,27.738,66.05,7
700,80,0.9,0.5,True,3,14.8635,0.067279,24.0,True,4.35,49.0911,13.8635,35.2276,71.76,7
700,80,0.9,0.5,False,1,15.4234,0.064837,22.98,True,1.48,51.887,14.4234,37.4636,72.2,11
700,80,0.9,0.5,False,2,15.884,0.062957,22.93,True,1.32,43.3964,14.884,28.5124,65.7,10
700,80,0.9,0.5,False,3,14.8635,0.067279,24.0,True,1.39,43.1765,13.8635,29.3131,67.89,7
