population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.05,True,5,5,100,3,21.9446,1.0723,20.8476,22.9904,1.08,0.49,69.59,9,0.0
100,20,0.6,0.05,True,5,5,50,3,20.0139,2.8972,16.974,22.7433,1.11,0.63,78.32,7.7,33.3
100,20,0.6,0.05,True,5,8,50,3,24.1712,2.2396,21.5937,25.6415,1.19,0.12,63.83,5.3,0.0
100,20,0.6,0.05,True,5,5,500,3,20.3115,0.9849,19.3742,21.3379,1.32,0.18,72.9,9,33.3
100,20,0.6,0.05,True,5,8,100,3,21.2206,1.1798,19.9027,22.1783,1.3,0.08,73.53,6,33.3
100,20,0.6,0.05,True,5,8,500,3,23.3374,1.6805,21.9064,25.188,1.3,0.12,60.44,5.3,0.0
100,20,0.6,0.05,True,10,3,50,3,20.1552,1.6001,18.9461,21.9697,1.3,0.08,77.65,11,66.7
100,20,0.6,0.05,True,10,3,100,3,20.445,0.6753,19.8313,21.1684,1.21,0.12,74.85,10,33.3
100,20,0.6,0.05,True,10,5,50,3,22.3159,2.0175,20.7402,24.5898,1.26,0.15,55.39,6.3,0.0
100,20,0.6,0.05,True,10,3,500,3,20.2589,0.7649,19.6035,21.0994,1.35,0.09,72.48,11.3,33.3
100,20,0.6,0.05,True,10,5,100,3,21.1781,1.0142,20.0082,21.8094,1.29,0.07,63.38,7.7,0.0
100,20,0.6,0.05,True,10,5,500,3,22.9469,1.5852,21.2091,24.3137,1.28,0.1,70.22,7.7,0.0
100,20,0.6,0.05,False,2,3,50,3,21.1415,2.01,18.8527,22.6193,0.62,0.08,68.22,12.7,33.3
100,20,0.6,0.05,True,10,8,100,3,21.3743,1.8333,19.2881,22.7285,1.21,0.11,76.32,6.3,33.3
100,20,0.6,0.05,True,10,8,50,3,21.5061,1.8772,19.3443,22.7245,1.31,0.1,74.2,8,33.3
100,20,0.6,0.05,False,2,3,100,3,19.6568,2.089,17.8873,21.9613,0.53,0.01,75.96,9.7,66.7
100,20,0.6,0.05,True,10,8,500,3,24.0133,1.1141,23.1778,25.2782,1.36,0.11,74.79,5.7,0.0
100,20,0.6,0.05,False,2,3,500,3,19.8043,2.8553,17.7315,23.0612,0.48,0.04,78.81,15,66.7
100,20,0.6,0.05,False,2,5,50,3,24.1103,2.2841,22.451,26.7154,0.53,0.03,71.62,8.7,0.0
100,20,0.6,0.05,False,2,5,500,3,22.7673,1.0376,21.6945,23.7657,0.52,0.02,72.53,12.7,0.0
100,20,0.6,0.05,False,2,5,100,3,23.1008,1.1272,22.126,24.3352,0.53,0.02,71.06,9,0.0
100,20,0.6,0.05,False,2,8,50,3,23.3132,0.8843,22.586,24.2976,0.52,0.08,62.27,7.3,0.0
100,20,0.6,0.05,False,2,8,100,3,25.881,0.517,25.3316,26.3579,0.56,0.04,67.35,6,0.0
100,20,0.6,0.05,False,5,3,50,3,21.1418,2.0575,18.8337,22.7837,0.52,0.03,68.3,14.7,33.3
100,20,0.6,0.05,False,2,8,500,3,23.2482,3.7469,20.8675,27.5672,0.54,0.0,62.67,7,0.0
100,20,0.6,0.05,False,5,3,100,3,25.671,2.1384,23.7012,27.9454,0.53,0.02,49.88,9,0.0
100,20,0.6,0.05,False,5,3,500,3,21.1399,4.2812,16.9361,25.4945,0.52,0.03,74.96,11.7,33.3
100,20,0.6,0.05,False,5,5,50,3,31.4689,5.9819,27.3347,38.3281,0.53,0.04,51.14,6.7,0.0
100,20,0.6,0.05,False,5,5,100,3,22.6892,2.2887,20.1803,24.6628,0.49,0.08,66.59,9,0.0
100,20,0.6,0.05,False,5,5,500,3,25.4571,2.6432,23.869,28.5083,0.51,0.07,44.86,8,0.0
100,20,0.6,0.05,False,5,8,50,3,25.9297,1.1971,24.6319,26.9908,0.53,0.02,63.52,4.7,0.0
100,20,0.6,0.05,False,5,8,100,3,24.601,4.0329,20.9782,28.9463,0.52,0.03,65.68,8,0.0
100,20,0.6,0.05,False,5,8,500,3,23.8504,1.4892,22.184,25.0509,0.55,0.02,61.86,6.7,0.0
100,20,0.6,0.05,False,10,3,100,3,23.8836,2.0656,21.6118,25.6486,0.47,0.06,63.64,12,0.0
100,20,0.6,0.05,False,10,3,50,3,21.4404,5.1445,16.1231,26.3926,0.52,0.02,75.27,10.7,33.3
100,20,0.6,0.05,False,10,3,500,3,24.6548,1.8507,23.492,26.7889,0.44,0.07,66.51,11.7,0.0
100,20,0.6,0.05,False,10,5,50,3,23.6821,1.811,22.3112,25.7351,0.5,0.02,70.78,9.3,0.0
100,20,0.6,0.05,False,10,5,500,3,25.5803,2.3126,22.9287,27.1798,0.45,0.08,51.42,11,0.0
100,20,0.6,0.05,False,10,5,100,3,21.7312,1.0554,20.9989,22.9409,0.52,0.02,71.81,12,0.0
100,20,0.6,0.05,False,10,8,50,3,24.9905,2.6425,22.3617,27.6464,0.47,0.06,48.6,8.3,0.0
100,20,0.6,0.05,False,10,8,100,3,22.7053,0.7388,21.9425,23.4174,0.59,0.09,55.44,7.3,0.0
100,20,0.6,0.05,False,10,8,500,3,21.0616,1.2348,19.7,22.1089,0.54,0.06,68.94,8,33.3
100,20,0.6,0.2,True,2,3,100,3,19.1966,1.5298,17.6157,20.6695,1.48,0.08,79.67,9.7,66.7
100,20,0.6,0.2,True,2,3,50,3,20.4437,1.3699,18.9327,21.6044,1.51,0.08,77.0,13.3,33.3
100,20,0.6,0.2,True,2,3,500,3,19.8802,1.707,18.5043,21.7905,1.49,0.1,73.2,10.7,66.7
100,20,0.6,0.2,True,2,5,50,3,19.649,3.718,15.3561,21.8377,1.5,0.19,68.23,9.3,33.3
100,20,0.6,0.2,True,2,5,500,3,18.6299,2.1659,16.2309,20.4417,1.36,0.2,75.89,8.7,66.7
